Name,Status,Status info,Image,Days since last release,Average
iPhone SE,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/iphone_se_2022_380.png,84,725
iPad Air,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/ipad_air_2022_342.png,84,610
iPhone 13,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_buyers_360.png,256,366
iPhone 13 Pro,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_pro_buyers_343.png,256,355
iPad Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_mini_buyers_250.png,259,541
iPad,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_buyers_250.png,259,580
"11"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_11_350.png,396,466
"12.9"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_12_350.png,396,499
Mac Studio,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/mac_studio_342.png,84,
"14"" & 16"" MacBook Pro",Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/macbook_pro_16_552.png,225,391
iMac,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/imac_350.png,396,398
Mac Mini,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_mini_320.png,567,634
MacBook Air,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_air_431.png,567,398
"13"" MacBook Pro",Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_pro_13_433.png,567,346
Mac Pro,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_pro_2019_416.png,903,772
AirPods,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/airpods_300.png,225,885
AirPods Max,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpods_max_480.png,539,
HomePod Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/homepod_mini_buyers_300.png,595,
AirPods Pro,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpodspro-480_trans.png,946,
Apple Watch,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_300.png,235,396
Apple TV,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/atv-2015-2_trans.png,396,708
Apple Watch SE,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_se_300.png,623,
iPod Touch,Don't Buy,Discontinued,https://images.macrumors.com/images-new/touch2015.png,1099,404
iPhone SE,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/iphone_se_2022_380.png,84,725
iPad Air,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/ipad_air_2022_342.png,84,610
iPhone 13,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_buyers_360.png,256,366
iPhone 13 Pro,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_pro_buyers_343.png,256,355
iPad Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_mini_buyers_250.png,259,541
iPad,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_buyers_250.png,259,580
"11"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_11_350.png,396,466
"12.9"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_12_350.png,396,499
Mac Studio,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/mac_studio_342.png,84,
"14"" & 16"" MacBook Pro",Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/macbook_pro_16_552.png,225,391
iMac,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/imac_350.png,396,398
Mac Mini,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_mini_320.png,567,634
MacBook Air,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_air_431.png,567,398
"13"" MacBook Pro",Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_pro_13_433.png,567,346
Mac Pro,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_pro_2019_416.png,903,772
AirPods,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/airpods_300.png,225,885
AirPods Max,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpods_max_480.png,539,
HomePod Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/homepod_mini_buyers_300.png,595,
AirPods Pro,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpodspro-480_trans.png,946,
Apple Watch,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_300.png,235,396
Apple TV,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/atv-2015-2_trans.png,396,708
Apple Watch SE,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_se_300.png,623,
iPod Touch,Don't Buy,Discontinued,https://images.macrumors.com/images-new/touch2015.png,1099,404
iPhone SE,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/iphone_se_2022_380.png,84,725
iPad Air,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/ipad_air_2022_342.png,84,610
iPhone 13,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_buyers_360.png,256,366
iPhone 13 Pro,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_pro_buyers_343.png,256,355
iPad Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_mini_buyers_250.png,259,541
iPad,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_buyers_250.png,259,580
"11"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_11_350.png,396,466
"12.9"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_12_350.png,396,499
Mac Studio,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/mac_studio_342.png,84,
"14"" & 16"" MacBook Pro",Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/macbook_pro_16_552.png,225,391
iMac,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/imac_350.png,396,398
Mac Mini,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_mini_320.png,567,634
MacBook Air,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_air_431.png,567,398
"13"" MacBook Pro",Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_pro_13_433.png,567,346
Mac Pro,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_pro_2019_416.png,903,772
AirPods,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/airpods_300.png,225,885
AirPods Max,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpods_max_480.png,539,
HomePod Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/homepod_mini_buyers_300.png,595,
AirPods Pro,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpodspro-480_trans.png,946,
Apple Watch,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_300.png,235,396
Apple TV,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/atv-2015-2_trans.png,396,708
Apple Watch SE,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_se_300.png,623,
iPod Touch,Don't Buy,Discontinued,https://images.macrumors.com/images-new/touch2015.png,1099,404
iPhone SE,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/iphone_se_2022_380.png,84,725
iPad Air,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/ipad_air_2022_342.png,84,610
iPhone 13,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_buyers_360.png,256,366
iPhone 13 Pro,Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/iphone_13_pro_buyers_343.png,256,355
iPad Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_mini_buyers_250.png,259,541
iPad,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_buyers_250.png,259,580
"11"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_11_350.png,396,466
"12.9"" iPad Pro",Caution,Approaching End of Cycle,https://images.macrumors.com/images-new/buyers-products/ipad_pro_12_350.png,396,499
Mac Studio,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/mac_studio_342.png,84,
"14"" & 16"" MacBook Pro",Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/macbook_pro_16_552.png,225,391
iMac,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/imac_350.png,396,398
Mac Mini,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_mini_320.png,567,634
MacBook Air,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_air_431.png,567,398
"13"" MacBook Pro",Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/macbook_pro_13_433.png,567,346
Mac Pro,Don't Buy,Updates Soon,https://images.macrumors.com/images-new/buyers-products/mac_pro_2019_416.png,903,772
AirPods,Buy Now,Just Updated,https://images.macrumors.com/images-new/buyers-products/airpods_300.png,225,885
AirPods Max,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpods_max_480.png,539,
HomePod Mini,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/homepod_mini_buyers_300.png,595,
AirPods Pro,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/airpodspro-480_trans.png,946,
Apple Watch,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_300.png,235,396
Apple TV,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/atv-2015-2_trans.png,396,708
Apple Watch SE,Neutral,Mid-product Cycle,https://images.macrumors.com/images-new/buyers-products/apple_watch_se_300.png,623,
iPod Touch,Don't Buy,Discontinued,https://images.macrumors.com/images-new/touch2015.png,1099,404
